bedrooms,bathrooms,latitude,longitude,price
1,1,40.7108,-73.9539,2400
2,1,40.7513,-73.9722,3800
2,1,40.7575,-73.9625,3495
3,1.5,40.7145,-73.9425,3000
0,1,40.7439,-73.9743,2795
3,1,40.7348,-73.9865,7200
3,2,40.7302,-73.9826,6000
0,1,40.7769,-73.9467,1945
1,0,40.7346,-73.9811,2435
3,3,40.699,-73.9943,6850
0,1,40.7723,-73.951,2785
2,1,40.753,-73.9959,3100
0,1,40.761,-73.999,2400
1,1,40.7277,-74,2750
2,2,40.7633,-73.9596,5465
0,1,40.7073,-73.9665,3150
2,1,40.7528,-73.9709,3750
3,1,40.736,-73.986,4450
1,1,40.783,-73.9828,3200
1,1,40.7621,-73.9486,2495
0,1,40.746,-73.9754,2195
2,2,40.7456,-74.0053,5975
1,1,40.7685,-73.9895,4960
1,1,40.7319,-73.9817,3362
1,1,40.7709,-73.9496,2700
3,2,40.7352,-73.9832,5500
2,1,40.7084,-74.0048,5425
2,1,40.7735,-73.9509,3250
0,1,40.7708,-73.9576,2350
2,1,40.7585,-73.9913,3395
2,1,40.7223,-73.9966,4000
0,1,40.7743,-73.9875,1495
4,1,40.8031,-73.9653,5200
1,1,40.7185,-73.9865,2900
3,1,40.645,-73.9984,2200
2,1,40.6455,-73.961,2475
1,1,40.7633,-73.9932,2895
0,1,40.771,-73.9553,1750
3,2,40.6678,-73.9398,3050
0,1,40.7398,-73.9811,3850
3,1,40.6956,-73.9227,2400
1,1,40.7751,-73.9886,3925
2,1,40.7931,-73.9715,2795
1,1,40.7287,-73.981,2850
1,1,40.7528,-73.9709,2985
1,1,40.7852,-73.949,4400
1,1,40.7074,-74.0069,3620
4,3,40.7024,-73.9279,4200
3,2,40.7754,-73.9509,4995
0,1,40.7656,-73.9582,1895
