Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Stop/Start System (Engine Management System)  Description,Lockup Torque Converter,Calc Approach Desc,Cyl Deact?,Trans Creeper Gear
4.4,8,20.538,7,10.0,2,2,Yes,   ,not filled in,^^,N
2.0,4,34.5365,6,15.0,2,2,No,,not filled in,^^,N
3.4,6,31.5932,7,10.0,2,2,none,N,not filled in,N,N
4.4,8,22.0246,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
4.3,6,25.772,6,85.0,1,1,No,,not filled in,^^,N
3.0,6,27.9327,6,10.0,2,2,No,,not filled in,^^,N
4.7,8,20.5806,7,10.0,2,2,none,N,not filled in,^^,N
3.7,6,26.3864,7,10.0,2,2,No,   ,Derived 5-cycle label,N,N
3.5,6,30.0207,7,85.0,2,2,Yes,Y,not filled in,N,N
,8,18.413,6,85.0,1,1,No,Y,Derived 5-cycle label,Y,N
2.5,4,38.1862,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
4.4,8,24.8022,8,10.0,2,2,none,,Derived 5-cycle label,N,N
2.0,4,30.8588,8,85.0,2,2,none,   ,Derived 5-cycle label,^^,N
,8,20.3843,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
,4,28.9785,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.8,6,28.0891,7,10.0,2,2,none,N,not filled in,N,N
1.8,4,43.5074,1,15.0,2,2,No,,Derived 5-cycle label,N,N
1.6,4,39.6538,6,10.0,2,2,No,Y,not filled in,N,N
6.3,12,16.2512,7,10.0,2,2,none,,Derived 5-cycle label,^^,N
1.6,4,36.2557,6,10.0,2,2,No,N,not filled in,^^,N
2.0,4,44.3729,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
1.6,4,39.6659,6,10.0,2,2,none,Y,Derived 5-cycle label,^^,N
,8,22.6159,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
,6,30.4945,7,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.5,6,30.3614,7,85.0,2,2,Yes,,Vehicle Specific 5-cycle label,^^,N
1.3,4,52.2891,1,15.0,2,2,none,   ,Vehicle Specific 5-cycle label,^^,N
,4,34.5259,8,10.0,2,2,Yes,Y,Derived 5-cycle label,^^,N
,4,36.0919,1,10.0,2,2,No,Y,not filled in,^^,N
,4,31.489,6,10.0,2,2,No,N,not filled in,N,N
3.0,6,29.3582,8,10.0,2,2,Yes,,Derived 5-cycle label,N,N
1.6,4,35.2534,6,10.0,2,2,none,Y,not filled in,^^,N
,6,26.4165,7,10.0,2,2,none,Y,Vehicle Specific 5-cycle label,N,N
2.7,4,30.2726,5,10.0,2,2,No,   ,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,^^,N
,5,30.5996,6,10.0,2,2,No,Y,not filled in,N,N
,4,31.7685,1,10.0,2,2,No,Y,not filled in,^^,N
5.5,8,22.8851,7,10.0,2,2,Yes,,Derived 5-cycle label,N,N
,8,20.4217,7,10.0,2,2,No,Y,Vehicle Specific 5-cycle label,N,N
2.0,4,36.8678,8,10.0,2,2,Yes,Y,not filled in,N,N
1.4,4,33.84,6,10.0,2,2,No,Y,not filled in,N,N
,6,23.7196,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,29.7643,7,85.0,2,2,Yes,Y,not filled in,^^,N
6.2,8,19.3239,7,10.0,2,2,none,Y,Derived 5-cycle label,N,N
2.5,4,41.3004,6,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.5,4,42.9553,6,10.0,2,2,none,Y,not filled in,^^,N
,4,34.7132,1,10.0,2,2,No,   ,Derived 5-cycle label,^^,N
3.7,6,26.8969,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
,8,25.3787,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
2.7,6,31.1731,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.0,4,38.4668,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
